Filepath,setBpm,Fail Reason
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1040d\,130,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1041b\,150,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1041f\,119,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1043\,120,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1043f\,86,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1044\,106,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1044a\,360,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1044b\,160,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1044c\,240,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1044e\,150,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1045d\,108,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1046\,128,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1046b\,110,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1046e\,200,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1046f\,130,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1047\,126,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1047a\,120,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1047c\,90,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1047e\,120,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1048\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1048\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1048a\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1048a\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1048d\,133,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1049a\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\104a0\,140,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\104bc\,350,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\104ed\,184,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\105\,128,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1051\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1051\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1051a\,200,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1051c\,230,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1052a\,120,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1052e\,110,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1053\,128,0,No Audio File Found
